Protein	Gene	Protein Description	LFQ intensity B73_TMT1_1	LFQ intensity Y12_TMT1_1
Zm00001d002313			0.0	0.0
Zm00001d002314			0.0	0.0
Zm00001d002315			0.092551	0.0
Zm00001d002316			0.067662	0.18975
Zm00001d002323			0.052523	0.0
Zm00001d002325			0.066212	0.17508
Zm00001d002326			0.061477	0.22339
Zm00001d002330			0.05386	0.17087
Zm00001d002332			0.058091	0.0
Zm00001d002334			0.074929	0.29402
Zm00001d002338			0.071562	0.19436
Zm00001d002339			0.078374	0.23685
Zm00001d002340			0.063824	0.17778
Zm00001d002342			0.066799	0.26413
Zm00001d002343			0.0	0.0
Zm00001d002344			0.045122	0.0
Zm00001d002346			0.043049	0.16417
Zm00001d002349			0.0	0.0
Zm00001d002351			0.055834	0.0
Zm00001d002352			0.059572	0.27857
Zm00001d002353			0.028191	0.0
Zm00001d002356			0.083613	0.0
Zm00001d002357			0.0	0.0
Zm00001d002358			0.057465	0.19417
Zm00001d002359			0.0	0.0
Zm00001d002360			0.11683	0.0
Zm00001d002362			0.046181	0.0
Zm00001d026271			0.0	0.0
Zm00001d002365			0.057608	0.0
Zm00001d002366			0.063917	0.1742
Zm00001d002369			0.081466	0.24612
Zm00001d002370			0.0	0.0
Zm00001d026267			0.062848	0.0
Zm00001d002373			0.057462	0.0
Zm00001d002374			0.0	0.0
Zm00001d002377			0.097012	0.23267
Zm00001d002381			0.0	0.19983
Zm00001d026261			0.0	0.0
Zm00001d002384			0.053054	0.14382
Zm00001d002385			0.0	0.0
Zm00001d002386			0.065473	0.0
Zm00001d002388			0.072509	0.21114
Zm00001d002390			0.12781	0.0
Zm00001d002391			0.0	0.0
Zm00001d002395			0.073336	0.19622
Zm00001d002396			0.037008	0.17479
Zm00001d002403			0.051581	0.19825
Zm00001d002405			0.0	0.19139
Zm00001d002408			0.040667	0.17741
Zm00001d002410			0.0	0.0
Zm00001d002422			0.046124	0.20075
Zm00001d002423			0.056198	0.0
Zm00001d002426			0.033631	0.12044
Zm00001d002428			0.053259	0.0
Zm00001d002434			0.17152	0.0
Zm00001d002436			0.12289	0.21465
Zm00001d002440			0.072124	0.17155
Zm00001d002450			0.078044	0.29221
Zm00001d002454			0.04898	0.0
Zm00001d026212			0.07003	0.0
Zm00001d002458			0.0	0.20756
Zm00001d002463			0.0	0.078364
Zm00001d002475			0.072374	0.22067
Zm00001d002478			0.07687	0.26719
Zm00001d002479			0.22487	0.0
Zm00001d002483			0.0	0.0
Zm00001d002485			0.069486	0.19005
Zm00001d002490			0.045507	0.098787
Zm00001d002495			0.0	0.36631
Zm00001d002496			0.056295	0.0
Zm00001d002503			0.085352	0.26929
Zm00001d002511			0.066682	0.0
Zm00001d002523			0.037554	0.0
Zm00001d002537			0.0	0.0
Zm00001d002538			0.078177	0.25484
Zm00001d002540			0.091881	0.25701
Zm00001d002543			0.043273	0.16997
Zm00001d002548			0.051192	0.0
Zm00001d002554			0.0	0.0
Zm00001d002567			0.0	0.0
Zm00001d002580			0.081544	0.0775
Zm00001d002585			0.082651	0.39426
Zm00001d002589			0.0	0.0
Zm00001d002590			0.045699	0.0
Zm00001d002595			0.090944	0.0
Zm00001d002598			0.067776	0.21475
Zm00001d002599			0.080751	0.18532
Zm00001d002601			0.046016	0.0
Zm00001d002602			0.057112	0.17024
Zm00001d002603			0.090837	0.0
Zm00001d002607			0.039385	0.26423
Zm00001d002609			0.0	0.20663
Zm00001d002611			0.092602	0.22816
Zm00001d002613			0.046033	0.0
Zm00001d002615			0.087237	0.19577
Zm00001d002617			0.084198	0.13204
Zm00001d002625			0.059713	0.0
Zm00001d002630			0.055348	0.0
Zm00001d002631			0.0	0.0
Zm00001d002632			0.10972	0.0
Zm00001d002639			0.069198	0.0
Zm00001d002640			0.058804	0.0
Zm00001d002644			0.071062	0.19278
Zm00001d002650			0.055934	0.20675
Zm00001d052281			0.0	0.0
Zm00001d002656			0.0	0.21233
Zm00001d002658			0.040052	0.0
Zm00001d002659			0.048636	0.0
Zm00001d002668			0.091566	0.0
Zm00001d002676			0.077484	0.0
Zm00001d002677			0.067474	0.23493
Zm00001d002678			0.049961	0.0
Zm00001d002680			0.076452	0.16805
Zm00001d002682			0.06113	0.0
Zm00001d002685			0.052108	0.0
Zm00001d002687			0.0	0.0
Zm00001d002690			0.077615	0.0
Zm00001d002693			0.012736	0.0
Zm00001d002694			0.071395	0.23208
Zm00001d002695			0.0	0.0
Zm00001d002704			0.081366	0.18535
Zm00001d002705			0.0	0.0
Zm00001d002707			0.0	0.0
Zm00001d002708			0.0	0.19802
Zm00001d002711			0.063125	0.14883
Zm00001d002714			0.08569	0.24491
Zm00001d002715			0.064081	0.19857
Zm00001d002716			0.067107	0.0
Zm00001d002721			0.028423	0.11707
Zm00001d002734			0.056741	0.22682
Zm00001d002751			0.053676	0.16434
Zm00001d002768			0.01411	0.1981
Zm00001d002770			0.061758	0.0
Zm00001d002775			0.097541	0.24782
Zm00001d002776			0.0	0.0
Zm00001d002781			0.056277	0.18941
Zm00001d002783			0.068382	0.0
Zm00001d002789			0.053999	0.0
Zm00001d002791			0.0	0.0
Zm00001d002796			0.047209	0.0
Zm00001d002798			0.063816	0.0
Zm00001d002801			0.06723	0.0
Zm00001d002810			0.094162	0.28425
Zm00001d002812			0.073347	0.0
Zm00001d002815			0.03041	0.0
Zm00001d002819			0.0	0.0
Zm00001d002822			0.035899	0.12455
Zm00001d002823			0.082758	0.26183
Zm00001d002824			0.06412	0.0
Zm00001d002827			0.0	0.0
Zm00001d002830			0.0	0.0
Zm00001d002842			0.05904	0.17256
Zm00001d002844			0.031825	0.21464
Zm00001d002847			0.10774	0.23454
Zm00001d002848			0.059702	0.0
Zm00001d002850			0.0	0.0
Zm00001d002853			0.072755	0.2004
Zm00001d002854			0.054875	0.1892
Zm00001d002857			0.0	0.0
Zm00001d002864			0.0	0.21833
Zm00001d002868			0.067791	0.0
Zm00001d002871			0.04583	0.0
Zm00001d002873			0.0	0.0
Zm00001d002878			0.091116	0.18461
Zm00001d002880			0.070096	0.20584
Zm00001d002881			0.0	0.0
Zm00001d002882			0.0	0.25108
Zm00001d002884			0.0	0.0
Zm00001d002889			0.068818	0.17266
Zm00001d002897			0.10735	0.23617
Zm00001d002898			0.14519	0.21273
Zm00001d002899			0.15711	0.22182
Zm00001d002901			0.10227	0.31449
Zm00001d002902			0.0	0.34156
Zm00001d002906			0.075058	0.20365
Zm00001d020152			0.071415	0.0
Zm00001d002919			0.070045	0.26474
Zm00001d002925			0.075744	0.0
Zm00001d002936			0.076138	0.33382
Zm00001d002938			0.0	0.0
Zm00001d002939			0.035262	0.19009
Zm00001d002941			0.0	0.0
Zm00001d002942			0.081972	0.22804
Zm00001d002943			0.0	0.0
Zm00001d002944			0.071982	0.21443
Zm00001d002950			0.063469	0.0
Zm00001d002952			0.031232	0.0
Zm00001d002953			0.048045	0.19054
Zm00001d002954			0.077255	0.0
Zm00001d002956			0.0	0.0
Zm00001d002960			0.090813	0.0
Zm00001d002961			0.065009	0.0
Zm00001d002962			0.0	0.0
Zm00001d002964			0.092966	0.0
Zm00001d002965			0.0	0.0
Zm00001d002966			0.069315	0.0
Zm00001d002967			0.069249	0.26086
Zm00001d002969			0.070758	0.20495
Zm00001d002971			0.0	0.0
Zm00001d002974			0.0	0.0
Zm00001d002978			0.077014	0.22714
Zm00001d002980			0.070345	0.0
Zm00001d002991			0.07243	0.0
Zm00001d002993			0.034693	0.0
Zm00001d003002			0.0	0.24531
Zm00001d003006			0.12251	0.30863
Zm00001d003007			0.065549	0.0
Zm00001d003015			0.088775	0.0
Zm00001d003016			0.10134	0.24965
Zm00001d003017			0.09669	0.22835
Zm00001d003031			0.0	0.0
Zm00001d003033			0.083901	0.0
Zm00001d003035			0.0	0.0
Zm00001d003040			0.0	0.0
Zm00001d003041			0.056178	0.0
Zm00001d003044			0.055389	0.0
Zm00001d003046			0.0	0.12671
Zm00001d003049			0.067757	0.0
Zm00001d003057			0.039545	0.058426
Zm00001d003058			0.057456	0.0
Zm00001d003059			0.036226	0.0
Zm00001d003062			0.055355	0.0
Zm00001d003066			0.058759	0.0
Zm00001d003071			0.056113	0.0
Zm00001d003076			0.0	0.0
Zm00001d003081			0.13	0.26779
Zm00001d003083			0.071617	0.18364
Zm00001d003084			0.079228	0.0
Zm00001d003085			0.062259	0.0
Zm00001d003086			0.0	0.0
Zm00001d003087			0.061218	0.23834
Zm00001d003091			0.0	0.26142
Zm00001d003101			0.0	0.0
Zm00001d003102			0.091642	0.0
Zm00001d003104			0.054127	0.11973
Zm00001d003106			0.071903	0.2378
Zm00001d003108			0.065789	0.0
Zm00001d003119			0.090553	0.21386
Zm00001d003123			0.064339	0.19213
Zm00001d003124			0.057287	0.0
Zm00001d003127			0.079267	0.2723
Zm00001d003128			0.0	0.0
Zm00001d003140			0.0	0.0
Zm00001d003144			0.0	0.26384
Zm00001d003147			0.079845	0.23318
Zm00001d003148			0.061825	0.0
Zm00001d003161			0.050331	0.0
Zm00001d003164			0.068692	0.0
Zm00001d003166			0.075129	0.23522
Zm00001d003174			0.044462	0.0
Zm00001d003180			0.067411	0.15894
Zm00001d003181			0.071093	0.0
Zm00001d003182			0.061006	0.0
Zm00001d003185			0.0	0.0
Zm00001d003186			0.083803	0.0
Zm00001d003187			0.0	0.0
Zm00001d003188			0.0	0.0
Zm00001d003190			0.04901	0.20288
Zm00001d025752			0.0	0.0
Zm00001d003196			0.0	0.16143
Zm00001d003198			0.054467	0.0
Zm00001d003199			0.0	0.0
Zm00001d003203			0.0	0.0
Zm00001d003209			0.07111	0.0
Zm00001d003212			0.0	0.0
Zm00001d003214			0.056443	0.0
Zm00001d003220			0.068869	0.21007
Zm00001d003227			0.077	0.0
Zm00001d003235			0.07372	0.0
Zm00001d003242			0.06453	0.0
Zm00001d003245			0.06273	0.0
Zm00001d003246			0.0	0.17721
Zm00001d003247			0.10052	0.39961
Zm00001d003251			0.0	0.0
Zm00001d003252			0.078191	0.20709
Zm00001d003254			0.075128	0.20022
Zm00001d003256			0.0	0.0
Zm00001d003257			0.067263	0.0
Zm00001d003258			0.072383	0.0
Zm00001d003259			0.0	0.0
Zm00001d003262			0.048464	0.16002
Zm00001d003265			0.091952	0.19852
Zm00001d003266			0.038357	0.0
Zm00001d003268			0.10094	0.21856
Zm00001d003271			0.064193	0.19583
Zm00001d003274			0.0	0.0
Zm00001d003276			0.0	0.0
Zm00001d003277			0.081642	0.0
Zm00001d003281			0.055482	0.0
Zm00001d003283			0.0	0.59715
Zm00001d003284			0.069089	0.24141
Zm00001d003288			0.070399	0.10997
Zm00001d003291			0.06962	0.23435
Zm00001d003294			0.0	0.0
Zm00001d003302			0.058884	0.0
Zm00001d003304			0.0	0.0
Zm00001d003306			0.051981	0.19846
Zm00001d003308			0.058353	0.0
Zm00001d003309			0.075431	0.28054
Zm00001d003311			0.06614	0.093475
Zm00001d030994			0.0	0.0
Zm00001d003329			0.0	0.0
Zm00001d050916			0.056398	0.0
Zm00001d003369			0.047121	0.0
Zm00001d003372			0.077575	0.0
Zm00001d003379			0.032261	0.12426
Zm00001d003380			0.015349	0.0
Zm00001d003381			0.067988	0.0
